id_registro,data,loja,entradas,horas_equipe,investimento_divulgacao,canal_divulgacao,desconto_campanha_pct,disponibilidade_produtos_pct,espera_media_min,cupons_emitidos,receita_liquida,lucro_bruto
R01469,2024-08-01,L7,140,42.1,0.00,Sem divulgação,0,97.0,6.4,31,2299.41,825.89
R01470,2024-08-01,L6,225,39.1,89.65,Redes sociais,10,95.5,12.0,73,4828.33,1706.98
R01471,2024-08-01,L3,204,43.5,79.91,Mídia local,10,98.2,10.6,34,2655.66,822.11
R01472,2024-08-01,L5,243,47.1,129.93,Redes sociais,10,93.5,11.3,45,3375.11,1266.08
R01473,2024-08-02,L4,141,38.4,257.67,Mídia local,15,98.4,5.3,80,5455.63,2008.41
R01474,2024-08-02,L8,85,25.4,0.00,Sem divulgação,20,99.4,6.2,49,2912.18,965.23
R01475,2024-08-02,L2,124,32.4,0.00,Sem divulgação,5,94.5,8.3,39,3320.09,1201.45
R01476,2024-08-02,L1,164,43.3,234.25,Redes sociais,20,97.9,7.9,59,3729.70,1192.93
R01477,2024-08-02,L7,224,47.0,129.91,Mídia local,15,92.7,9.3,70,4781.59,1543.87
R01478,2024-08-02,L6,206,49.0,106.58,Redes sociais,0,96.5,8.2,45,3483.37,1284.27
R01479,2024-08-02,L3,217,44.8,76.43,Redes sociais,0,96.0,9.8,27,1958.36,651.85
R01480,2024-08-02,L5,264,47.8,108.82,Redes sociais,0,94.7,13.0,16,1136.36,447.10
R01481,2024-08-03,L4,97,32.1,62.35,Mídia local,5,94.1,6.3,48,3300.15,1259.14
R01482,2024-08-03,L8,177,34.8,133.43,WhatsApp,15,96.1,10.4,63,3603.05,1188.44
R01483,2024-08-03,L2,170,30.3,0.00,Sem divulgação,5,95.8,11.7,36,2526.50,889.91
R01484,2024-08-03,L1,208,43.9,83.25,WhatsApp,20,96.7,9.9,73,5271.01,1920.25
R01485,2024-08-03,L7,217,41.1,39.05,Redes sociais,5,95.9,11.4,45,3317.06,1109.45
R01486,2024-08-03,L6,177,43.2,0.00,Sem divulgação,5,95.8,8.3,49,3548.14,1273.35
R01487,2024-08-03,L3,241,44.4,55.48,Mídia local,10,96.9,11.6,48,3739.23,1198.34
R01488,2024-08-03,L5,251,45.4,0.00,Sem divulgação,15,96.0,12.8,44,3185.27,1109.43
R01489,2024-08-05,L4,136,27.4,104.45,Redes sociais,10,96.1,9.0,57,3601.87,1210.53
R01490,2024-08-05,L8,109,39.8,83.81,Redes sociais,10,98.2,5.8,50,3858.97,1412.95
R01491,2024-08-05,L2,143,25.7,0.00,Sem divulgação,0,92.8,12.2,30,2681.94,955.59
R01492,2024-08-05,L1,100,32.5,0.00,Sem divulgação,0,96.2,5.8,28,1544.74,615.45
R01493,2024-08-05,L7,172,32.0,42.50,WhatsApp,0,94.6,10.4,28,1876.30,711.63
R01494,2024-08-05,L6,192,38.0,104.32,Mídia local,0,97.3,10.0,29,1710.66,642.62
R01495,2024-08-05,L3,197,37.6,0.00,Sem divulgação,5,95.2,10.2,38,2825.35,943.52
R01496,2024-08-05,L5,176,43.6,0.00,Sem divulgação,10,94.8,8.9,37,2407.66,844.87
R01497,2024-08-06,L4,140,34.4,127.00,WhatsApp,0,97.2,7.5,71,4535.11,1724.38
R01498,2024-08-06,L8,86,23.8,0.00,Sem divulgação,5,96.0,6.0,30,2402.29,914.30
R01499,2024-08-06,L2,155,32.9,147.45,Redes sociais,5,95.1,9.8,40,2903.25,1028.29
R01500,2024-08-06,L1,194,38.2,178.37,Redes sociais,0,97.3,10.3,37,2282.20,935.01
R01501,2024-08-06,L7,141,33.8,0.00,Sem divulgação,5,95.3,8.1,38,3140.34,1106.44
R01502,2024-08-06,L6,129,37.7,0.00,Sem divulgação,15,94.2,6.8,30,1458.47,457.56
R01503,2024-08-06,L3,258,53.2,156.41,Redes sociais,10,98.2,9.4,69,5032.94,1555.72
R01504,2024-08-06,L5,164,43.6,0.00,Sem divulgação,0,94.1,9.2,44,3586.48,1377.60
R01505,2024-08-07,L4,111,25.3,0.00,Sem divulgação,10,96.2,7.8,46,2846.94,1029.27
R01506,2024-08-07,L8,197,33.2,286.22,Redes sociais,10,96.4,11.5,38,2832.83,1021.78
R01507,2024-08-07,L2,152,29.3,0.00,Sem divulgação,0,93.8,10.3,33,2956.32,1099.91
R01508,2024-08-07,L1,200,38.8,112.08,Redes sociais,15,98.7,11.2,83,4684.71,1676.57
R01509,2024-08-07,L7,207,43.7,90.64,Redes sociais,20,93.3,9.0,57,3547.09,1072.48
R01510,2024-08-07,L6,217,34.3,0.00,Sem divulgação,0,93.2,13.5,37,2324.23,894.12
R01511,2024-08-07,L3,273,48.8,131.11,Redes sociais,5,96.3,12.9,44,3459.68,1213.61
R01512,2024-08-07,L5,286,47.9,125.64,WhatsApp,20,95.7,11.3,62,3652.27,1206.77
R01513,2024-08-08,L4,123,28.5,0.00,Sem divulgação,10,96.3,8.3,41,2643.44,931.43
R01514,2024-08-08,L8,74,28.3,0.00,Sem divulgação,10,93.9,3.9,30,2070.99,741.73
R01515,2024-08-08,L2,156,32.3,92.71,WhatsApp,10,97.8,8.9,39,2885.21,925.84
R01516,2024-08-08,L1,204,43.9,128.68,Redes sociais,0,96.6,9.7,56,3277.61,1337.79
R01517,2024-08-08,L7,182,32.5,0.00,Sem divulgação,10,96.2,11.8,37,2877.14,909.61
R01518,2024-08-08,L6,172,32.9,0.00,Sem divulgação,15,94.8,10.0,40,2952.97,1006.19
R01519,2024-08-08,L3,217,48.1,124.80,WhatsApp,0,96.5,11.3,26,2340.40,804.94
R01520,2024-08-08,L5,192,47.0,182.37,Redes sociais,0,93.4,9.0,25,1892.79,752.30
R01521,2024-08-09,L4,175,35.4,165.22,Mídia local,0,96.9,9.4,67,4834.24,1921.95
R01522,2024-08-09,L8,197,37.0,179.19,Redes sociais,10,96.4,10.7,60,3635.91,1319.49
R01523,2024-08-09,L2,169,36.5,136.59,Redes sociais,20,97.0,8.5,66,4409.84,1337.62
R01524,2024-08-09,L1,192,44.0,172.91,Redes sociais,10,96.9,8.6,65,3316.50,1230.48
R01525,2024-08-09,L7,195,35.9,0.00,Sem divulgação,0,95.3,11.0,42,3555.30,1300.84
R01526,2024-08-09,L6,197,44.4,0.00,Sem divulgação,10,95.2,10.6,46,3093.24,1026.12
R01527,2024-08-09,L3,240,49.1,203.70,WhatsApp,0,95.3,10.0,45,3844.33,1259.99
R01528,2024-08-09,L5,248,41.6,0.00,Sem divulgação,10,95.8,14.1,38,2972.95,1123.90
R01529,2024-08-10,L4,86,27.5,0.00,Sem divulgação,5,97.4,5.0,34,2567.11,940.52
R01530,2024-08-10,L8,121,30.3,0.00,Sem divulgação,5,95.9,7.2,43,3007.44,1169.80
R01531,2024-08-10,L2,180,42.4,174.17,Mídia local,10,94.7,8.6,72,6008.12,2031.38
R01532,2024-08-10,L1,199,44.7,140.23,WhatsApp,15,97.4,9.0,89,5392.13,1877.04
R01533,2024-08-10,L7,247,51.2,146.73,Redes sociais,5,98.1,10.9,66,4971.96,1726.15
R01534,2024-08-10,L6,235,41.4,0.00,Sem divulgação,0,98.4,12.2,44,3114.71,1175.66
R01535,2024-08-10,L3,303,56.2,80.77,Mídia local,15,93.2,12.9,63,5289.80,1646.99
R01536,2024-08-10,L5,230,50.7,39.82,Redes sociais,15,94.2,9.7,62,4997.30,1632.18
R01537,2024-08-12,L4,103,28.6,68.36,Redes sociais,10,98.9,6.6,48,3400.85,1191.91
R01538,2024-08-12,L8,184,37.3,135.48,Redes sociais,0,97.2,9.9,58,4187.29,1630.45
R01539,2024-08-12,L2,99,29.2,0.00,Sem divulgação,5,96.3,7.2,29,2285.57,797.92
R01540,2024-08-12,L1,149,35.8,133.19,Mídia local,0,98.3,8.2,51,3623.41,1497.71
R01541,2024-08-12,L7,182,34.4,73.93,Redes sociais,15,95.3,11.7,37,2309.66,718.41
R01542,2024-08-12,L6,210,33.1,0.00,Sem divulgação,5,94.2,13.7,40,2780.80,1035.53
R01543,2024-08-12,L3,181,36.7,152.22,Redes sociais,0,97.6,11.5,21,1927.31,666.17
R01544,2024-08-12,L5,215,43.9,131.46,Mídia local,10,99.0,10.2,51,3500.31,1236.39
R01545,2024-08-13,L4,133,29.6,123.09,WhatsApp,10,93.4,8.5,46,4168.49,1463.18
R01546,2024-08-13,L8,116,33.6,0.00,Sem divulgação,0,97.6,5.7,36,2347.86,918.82
R01547,2024-08-13,L2,108,30.3,0.00,Sem divulgação,0,96.7,7.2,41,3445.44,1271.95
R01548,2024-08-13,L1,183,37.1,66.88,WhatsApp,5,97.0,11.1,37,2433.15,934.02
R01549,2024-08-13,L7,165,37.3,0.00,Sem divulgação,5,87.8,9.2,29,2448.44,837.26
R01550,2024-08-13,L6,189,43.0,106.13,Redes sociais,10,90.9,9.9,33,1858.82,645.27
R01551,2024-08-13,L3,261,45.3,57.82,Redes sociais,0,96.5,11.7,49,4407.95,1568.11
R01552,2024-08-13,L5,230,43.9,0.00,Sem divulgação,0,93.5,11.6,39,2407.18,958.25
R01553,2024-08-14,L4,111,26.6,113.89,Mídia local,0,96.5,7.2,44,2700.14,1084.59
R01554,2024-08-14,L8,84,20.6,0.00,Sem divulgação,0,96.1,7.1,34,14448.29,4786.31
R01555,2024-08-14,L2,117,32.4,0.00,Sem divulgação,0,97.0,5.3,50,4090.29,1446.02
R01556,2024-08-14,L1,206,40.5,228.14,WhatsApp,15,97.8,9.1,65,3343.36,1138.39
R01557,2024-08-14,L7,185,41.6,164.76,Mídia local,10,96.3,8.7,63,4206.46,1404.85
R01558,2024-08-14,L6,155,32.8,0.00,Sem divulgação,0,93.9,9.7,40,2451.01,893.46
R01559,2024-08-14,L3,233,46.6,222.44,Mídia local,20,96.9,10.0,48,3391.29,903.17
R01560,2024-08-14,L5,228,40.4,0.00,Sem divulgação,0,95.7,13.1,32,2367.44,904.64
R01561,2024-08-15,L4,143,32.3,106.23,Mídia local,5,96.0,8.8,48,3550.05,1287.52
R01562,2024-08-15,L8,110,20.4,0.00,Sem divulgação,10,98.6,10.7,30,2291.65,842.78
R01563,2024-08-15,L2,115,26.5,0.00,Sem divulgação,15,95.2,7.8,42,2436.89,705.90
R01564,2024-08-15,L1,156,27.3,0.00,Sem divulgação,0,98.8,11.9,37,2480.65,999.14
R01565,2024-08-15,L7,202,40.4,111.55,Mídia local,0,96.3,9.7,60,5283.65,1853.25
R01566,2024-08-15,L6,202,45.6,97.93,Redes sociais,15,94.1,7.6,62,3906.01,1261.82
R01567,2024-08-15,L3,184,40.9,0.00,Sem divulgação,5,94.9,10.7,22,1678.15,563.34
R01568,2024-08-15,L5,249,43.4,0.00,Sem divulgação,5,94.8,12.4,33,2633.11,956.82
R01569,2024-08-16,L4,119,36.4,55.31,WhatsApp,15,95.6,6.6,61,4247.08,1376.95
R01570,2024-08-16,L8,139,41.1,237.62,Redes sociais,0,96.9,7.0,50,3209.38,1276.39
R01571,2024-08-16,L2,131,32.4,0.00,Sem divulgação,0,96.4,8.1,44,2776.85,1058.69
R01572,2024-08-16,L1,142,39.4,64.60,Redes sociais,15,97.4,6.5,58,3941.16,1296.51
R01573,2024-08-16,L7,141,32.1,0.00,Sem divulgação,0,93.7,8.6,35,2780.08,1030.44
R01574,2024-08-16,L6,164,42.0,0.00,Sem divulgação,0,95.6,7.8,58,4031.33,1605.11
R01575,2024-08-16,L3,180,42.8,104.43,Redes sociais,15,93.1,9.1,51,4648.13,1380.91
R01576,2024-08-16,L5,216,43.0,108.34,WhatsApp,10,95.1,10.5,37,2431.39,851.59
R01577,2024-08-17,L4,122,26.2,0.00,Sem divulgação,5,97.0,7.2,35,2198.86,811.78
R01578,2024-08-17,L8,180,35.3,85.15,WhatsApp,5,94.2,10.3,51,3280.59,1277.94
R01579,2024-08-17,L2,156,29.5,0.00,Sem divulgação,5,96.7,10.2,37,2257.57,793.77
R01580,2024-08-17,L1,170,43.5,220.81,Mídia local,10,84.1,6.9,35,2233.57,800.13
R01581,2024-08-17,L7,223,48.5,73.94,Redes sociais,5,94.6,10.4,42,2654.99,936.04
R01582,2024-08-17,L6,180,48.1,0.00,Sem divulgação,0,95.9,7.9,53,4004.06,1485.70
R01583,2024-08-17,L3,280,50.4,119.30,Redes sociais,10,97.6,11.6,51,3669.44,1045.12
R01584,2024-08-17,L5,240,55.1,90.66,WhatsApp,20,92.5,7.3,84,5173.51,1563.12
R01585,2024-08-19,L4,98,20.3,0.00,Sem divulgação,5,97.7,9.1,37,2473.20,911.01
R01586,2024-08-19,L8,114,28.3,0.00,Sem divulgação,15,95.6,7.8,42,2263.33,787.94
R01587,2024-08-19,L2,99,34.4,0.00,Sem divulgação,20,95.1,6.6,46,2978.64,830.49
R01588,2024-08-19,L1,149,32.6,118.78,WhatsApp,15,96.3,9.2,34,1942.61,695.16
R01589,2024-08-19,L7,188,42.0,137.45,Mídia local,15,94.4,6.5,77,6347.89,1918.15
R01590,2024-08-19,L6,165,44.6,137.19,Mídia local,10,95.3,6.7,52,4077.87,1433.74
R01591,2024-08-19,L3,173,40.0,0.00,Sem divulgação,0,95.7,10.5,30,2296.49,779.01
R01592,2024-08-19,L5,185,39.7,0.00,Sem divulgação,5,93.7,9.2,40,3339.39,1278.33
R01593,2024-08-20,L4,64,29.2,0.00,Sem divulgação,0,96.1,4.6,28,1915.19,728.81
R01594,2024-08-20,L8,96,23.0,0.00,Sem divulgação,0,96.2,8.1,32,2576.75,1026.92
R01595,2024-08-20,L2,90,27.0,0.00,Sem divulgação,5,96.2,7.6,28,1967.30,700.46
R01596,2024-08-20,L1,141,31.0,0.00,Sem divulgação,20,94.1,9.9,40,2447.72,785.69
R01597,2024-08-20,L7,177,45.8,197.09,Redes sociais,15,96.2,9.3,52,3267.35,1023.25
R01598,2024-08-20,L6,186,39.8,0.00,Sem divulgação,10,94.5,9.5,60,4029.95,1388.94
R01599,2024-08-20,L3,263,40.9,185.81,Redes sociais,0,95.7,15.5,25,1797.63,629.21
R01600,2024-08-20,L5,165,45.3,0.00,Sem divulgação,0,96.9,9.0,44,3500.25,1327.00
R01601,2024-08-21,L4,82,24.0,0.00,Sem divulgação,15,98.1,5.4,42,2903.63,949.88
R01602,2024-08-21,L8,138,31.1,68.90,WhatsApp,5,96.7,8.5,43,2979.35,1129.62
R01603,2024-08-21,L2,109,36.2,0.00,Sem divulgação,0,97.8,5.8,49,3764.36,1445.95
R01604,2024-08-21,L1,188,38.2,70.71,Mídia local,5,96.6,10.1,35,1979.72,813.34
R01605,2024-08-21,L7,170,40.2,0.00,Sem divulgação,0,92.9,8.7,42,3107.31,1152.54
R01606,2024-08-21,L6,201,40.1,83.62,Redes sociais,0,95.0,10.9,58,3976.74,1549.34
R01607,2024-08-21,L3,236,45.8,176.48,Redes sociais,5,92.6,12.2,26,2097.56,715.84
R01608,2024-08-21,L5,232,43.1,103.13,Redes sociais,0,97.2,12.0,50,3888.46,1471.08
R01609,2024-08-22,L4,162,36.0,97.57,Redes sociais,15,96.9,6.8,75,5558.74,1843.66
R01610,2024-08-22,L8,126,29.2,0.00,Sem divulgação,0,96.5,7.5,39,2196.00,852.98
R01611,2024-08-22,L2,178,28.0,100.09,WhatsApp,10,97.6,12.6,35,2165.51,727.87
R01612,2024-08-22,L1,193,33.2,148.05,WhatsApp,10,99.3,11.6,59,4214.08,1668.95
R01613,2024-08-22,L7,192,39.2,74.76,Redes sociais,0,97.7,10.3,40,2766.70,1012.47
R01614,2024-08-22,L6,222,40.0,133.59,WhatsApp,0,94.6,12.1,55,4237.68,1600.24
R01615,2024-08-22,L3,215,47.6,91.72,Redes sociais,5,98.2,8.1,80,6643.53,2200.74
R01616,2024-08-22,L5,236,44.8,64.73,Redes sociais,15,97.1,11.0,63,4403.46,1444.70
R01617,2024-08-23,L4,160,35.5,99.31,Redes sociais,0,98.1,8.5,58,3737.67,1393.54
R01618,2024-08-23,L8,145,32.6,0.00,Sem divulgação,10,96.7,7.9,59,4265.53,1507.80
R01619,2024-08-23,L2,162,36.6,0.00,Sem divulgação,10,94.7,8.5,58,3781.25,1212.47
R01620,2024-08-23,L1,214,39.8,79.75,Redes sociais,15,97.3,10.9,59,2961.68,1100.16
R01621,2024-08-23,L7,197,34.5,0.00,Sem divulgação,10,94.3,12.0,46,3476.96,1167.78
R01622,2024-08-23,L6,225,38.1,0.00,Sem divulgação,15,96.9,13.0,71,4494.66,1467.99
R01623,2024-08-23,L3,218,50.1,0.00,Sem divulgação,0,98.0,9.6,36,2810.86,1000.31
R01624,2024-08-23,L5,287,52.2,170.42,Redes sociais,5,96.8,11.6,54,4004.63,1458.11
R01625,2024-08-24,L4,138,32.8,62.90,WhatsApp,0,95.8,7.4,56,4060.42,1542.81
R01626,2024-08-24,L8,132,30.0,91.87,Mídia local,0,95.3,8.8,40,2914.83,1119.43
R01627,2024-08-24,L2,198,37.8,135.75,WhatsApp,10,94.4,10.2,74,5064.01,1605.54
R01628,2024-08-24,L1,166,37.9,0.00,Sem divulgação,5,97.3,9.9,54,3350.08,1338.67
R01629,2024-08-24,L7,187,43.0,111.36,Redes sociais,10,92.6,9.0,43,3030.32,947.03
R01630,2024-08-24,L6,151,33.8,0.00,Sem divulgação,0,97.0,9.1,37,2260.77,896.47
R01631,2024-08-24,L3,212,40.7,0.00,Sem divulgação,0,94.5,10.8,36,2727.90,975.52
R01632,2024-08-24,L5,300,45.4,150.49,Redes sociais,15,92.7,15.8,53,3743.16,1237.15
R01633,2024-08-26,L4,120,24.6,73.11,Redes sociais,0,97.1,9.3,31,2000.12,793.21
R01634,2024-08-26,L8,176,31.4,91.50,Redes sociais,0,96.9,11.6,47,3446.08,1337.61
R01635,2024-08-26,L2,93,28.8,0.00,Sem divulgação,15,95.0,6.5,39,2164.39,642.97
R01636,2024-08-26,L1,177,42.3,157.32,Redes sociais,0,97.0,8.4,64,4073.07,1620.62
R01637,2024-08-26,L7,140,38.9,171.55,Mídia local,0,99.8,8.0,39,3244.98,1160.91
R01638,2024-08-26,L6,169,32.7,0.00,Sem divulgação,10,96.1,11.1,47,2861.10,983.24
R01639,2024-08-26,L3,207,39.6,82.55,WhatsApp,15,94.8,10.6,41,3227.04,915.10
R01640,2024-08-26,L5,169,39.8,0.00,Sem divulgação,0,95.4,7.4,33,2398.50,968.11
R01641,2024-08-27,L4,115,36.1,74.57,Redes sociais,0,97.5,5.6,39,3586.62,1364.00
R01642,2024-08-27,L8,117,28.2,0.00,Sem divulgação,5,96.8,9.2,27,1803.16,673.34
R01643,2024-08-27,L2,197,32.5,128.48,Redes sociais,10,96.6,12.5,52,4018.60,1405.78
R01644,2024-08-27,L1,109,39.1,0.00,Sem divulgação,10,96.0,6.0,39,2328.42,865.04
R01645,2024-08-27,L7,163,32.1,0.00,Sem divulgação,0,94.1,10.1,31,2410.73,802.76
R01646,2024-08-27,L6,141,37.4,0.00,Sem divulgação,5,92.6,8.6,29,2154.75,794.74
R01647,2024-08-27,L3,213,42.0,81.81,WhatsApp,5,99.5,10.3,54,4003.58,1275.66
R01648,2024-08-27,L5,267,44.2,66.03,WhatsApp,0,93.8,14.6,29,2481.59,980.42
R01649,2024-08-28,L4,148,34.3,92.80,Redes sociais,0,96.1,7.2,60,4969.24,1978.61
R01650,2024-08-28,L8,133,32.6,151.64,WhatsApp,0,94.9,6.9,47,2583.33,1017.79
R01651,2024-08-28,L2,165,37.1,37.67,Redes sociais,0,95.4,8.0,43,2817.86,1058.17
R01652,2024-08-28,L1,145,27.1,0.00,Sem divulgação,20,99.2,9.9,54,3087.82,1074.74
R01653,2024-08-28,L7,184,37.8,114.65,Redes sociais,20,95.2,9.6,52,4105.69,1217.26
R01654,2024-08-28,L6,237,38.2,188.36,Mídia local,0,95.3,13.1,56,4437.41,1744.14
R01655,2024-08-28,L3,183,37.6,0.00,Sem divulgação,0,80.8,10.5,19,1676.17,584.93
R01656,2024-08-28,L5,191,46.1,0.00,Sem divulgação,0,93.6,7.9,38,3641.28,1441.01
R01657,2024-08-29,L4,124,33.5,131.73,Mídia local,0,97.8,6.0,67,4475.91,1743.32
R01658,2024-08-29,L8,132,24.1,0.00,Sem divulgação,5,98.1,10.1,50,3599.73,1372.94
R01659,2024-08-29,L2,134,26.3,0.00,Sem divulgação,0,98.2,8.9,45,3134.98,1161.80
R01660,2024-08-29,L1,179,31.8,0.00,Sem divulgação,0,95.2,9.5,39,2568.88,1066.77
R01661,2024-08-29,L7,137,30.5,0.00,Sem divulgação,0,92.5,10.0,32,2277.03,812.36
R01662,2024-08-29,L6,150,41.8,0.00,Sem divulgação,0,94.3,7.0,63,3659.28,1372.73
R01663,2024-08-29,L3,184,49.3,170.08,Redes sociais,0,96.2,8.2,39,3391.97,1183.10
R01664,2024-08-29,L5,235,48.9,60.23,Redes sociais,0,93.2,10.6,39,2892.62,1111.59
R01665,2024-08-30,L4,166,33.9,119.50,Redes sociais,0,96.1,10.9,47,3217.51,1204.33
R01666,2024-08-30,L8,105,29.3,0.00,Sem divulgação,5,98.0,7.5,40,2787.22,1043.09
R01667,2024-08-30,L2,172,31.5,44.82,Mídia local,0,95.0,10.0,36,2769.61,996.45
R01668,2024-08-30,L1,154,33.5,0.00,Sem divulgação,10,97.0,8.6,46,2984.45,1124.67
R01669,2024-08-30,L7,160,32.5,0.00,Sem divulgação,10,95.5,10.2,37,2739.48,926.92
R01670,2024-08-30,L6,156,43.0,0.00,Sem divulgação,5,96.1,6.9,36,2589.34,910.01
R01671,2024-08-30,L3,241,44.7,63.13,Mídia local,0,96.5,11.6,33,2670.48,922.11
R01672,2024-08-30,L5,199,39.1,0.00,Sem divulgação,20,97.0,11.0,47,3148.94,992.27
R01673,2024-08-31,L4,159,36.5,219.03,WhatsApp,15,97.5,7.7,54,3456.97,1107.25
R01674,2024-08-31,L8,164,34.1,72.31,Mídia local,5,94.9,9.3,56,4048.74,1496.61
R01675,2024-08-31,L2,139,33.6,0.00,Sem divulgação,15,85.6,7.4,19,1517.97,485.37
R01676,2024-08-31,L1,194,40.8,159.67,Mídia local,15,99.3,9.4,77,4326.12,1591.86
R01677,2024-08-31,L7,155,35.3,0.00,Sem divulgação,10,97.9,9.9,40,2873.45,958.98
R01678,2024-08-31,L6,244,47.2,137.68,Redes sociais,0,93.0,11.2,67,5470.12,2099.67
R01679,2024-08-31,L3,265,49.8,164.33,Redes sociais,20,96.0,12.6,45,3164.39,831.27
R01680,2024-08-31,L5,338,48.7,65.67,Mídia local,15,91.9,16.7,31,2159.35,712.33
R01681,2024-09-02,L4,96,23.8,0.00,Sem divulgação,10,91.0,7.2,39,2579.83,843.76
R01682,2024-09-02,L8,112,23.9,58.29,Mídia local,0,87.8,8.5,30,2208.21,870.21
R01683,2024-09-02,L2,115,31.1,0.00,Sem divulgação,15,93.0,7.8,38,2284.63,661.34
R01684,2024-09-02,L1,134,27.7,0.00,Sem divulgação,5,94.6,10.8,42,2019.59,784.18
R01685,2024-09-02,L7,180,40.2,67.78,Redes sociais,0,94.0,8.6,29,2051.27,768.38
R01686,2024-09-02,L6,205,43.4,161.52,WhatsApp,10,96.7,9.2,41,2438.09,783.98
R01687,2024-09-02,L3,128,38.3,0.00,Sem divulgação,20,99.1,7.8,49,3781.02,1029.55
R01688,2024-09-02,L5,194,41.9,0.00,Sem divulgação,10,95.7,9.1,37,2673.95,941.96
R01689,2024-09-03,L4,72,20.9,0.00,Sem divulgação,5,98.0,8.0,28,1879.00,723.65
R01690,2024-09-03,L8,142,29.8,187.41,WhatsApp,0,96.7,9.7,50,3452.50,1388.55
R01691,2024-09-03,L2,117,29.6,0.00,Sem divulgação,0,92.8,6.7,37,3005.48,1110.16
R01692,2024-09-03,L1,178,35.6,85.91,Mídia local,15,98.2,9.7,53,2939.25,1003.18
R01693,2024-09-03,L7,207,27.9,66.00,Mídia local,0,94.9,17.3,18,1353.75,478.63
R01694,2024-09-03,L6,117,29.8,0.00,Sem divulgação,0,93.8,7.3,20,1287.04,494.39
R01695,2024-09-03,L3,187,33.5,37.95,WhatsApp,5,96.6,11.6,31,2612.08,871.03
R01696,2024-09-03,L5,175,37.0,0.00,Sem divulgação,0,94.3,9.9,35,2353.27,918.25
R01697,2024-09-04,L4,126,39.6,94.23,WhatsApp,0,98.0,6.6,45,3169.39,1261.47
R01698,2024-09-04,L8,94,22.7,0.00,Sem divulgação,0,95.7,8.2,32,2318.85,927.82
R01699,2024-09-04,L2,123,36.2,52.95,Redes sociais,5,96.8,5.6,44,3645.66,1282.84
R01700,2024-09-04,L1,173,42.0,119.85,Redes sociais,0,94.0,7.7,43,2624.89,1036.52
R01701,2024-09-04,L7,194,42.9,180.05,Mídia local,0,96.3,8.6,52,3762.12,1362.01
R01702,2024-09-04,L6,160,35.0,0.00,Sem divulgação,0,96.0,9.9,30,1905.75,738.51
R01703,2024-09-04,L3,198,50.7,134.68,Mídia local,10,94.7,9.3,45,3997.90,1268.12
R01704,2024-09-04,L5,237,40.7,0.00,Sem divulgação,15,96.1,12.8,47,2954.60,966.76
R01705,2024-09-05,L4,86,27.5,0.00,Sem divulgação,5,96.1,5.2,38,2972.65,1138.26
R01706,2024-09-05,L8,141,39.2,77.53,Redes sociais,0,95.6,7.3,46,3508.94,1382.70
R01707,2024-09-05,L2,183,37.1,63.36,Redes sociais,5,93.7,10.8,32,2127.62,750.50
R01708,2024-09-05,L1,179,39.1,107.26,Mídia local,15,97.3,9.4,58,3134.81,1097.08
R01709,2024-09-05,L7,234,37.0,0.00,Sem divulgação,0,93.3,14.6,30,1821.32,658.93
R01710,2024-09-05,L6,202,35.4,0.00,Sem divulgação,10,93.6,11.5,45,2860.42,941.03
R01711,2024-09-05,L3,205,46.0,112.16,Mídia local,20,97.0,10.8,49,3977.94,1118.25
R01712,2024-09-05,L5,213,39.5,0.00,Sem divulgação,0,92.7,12.6,32,2311.77,889.81
R01713,2024-09-06,L4,103,39.0,76.62,Mídia local,15,89.0,3.1,53,3182.20,1061.94
R01714,2024-09-06,L8,106,28.3,0.00,Sem divulgação,0,96.6,6.4,35,2713.59,1087.98
R01715,2024-09-06,L2,188,30.0,0.00,Sem divulgação,0,94.8,12.8,26,1872.42,700.18
R01716,2024-09-06,L1,179,30.3,0.00,Sem divulgação,5,96.8,11.4,48,2843.50,1103.65
R01717,2024-09-06,L7,164,43.9,65.84,Redes sociais,15,95.0,7.4,49,3805.18,1159.62
R01718,2024-09-06,L6,167,38.7,0.00,Sem divulgação,10,94.2,9.2,57,3522.89,1265.73
R01719,2024-09-06,L3,207,44.4,60.75,Redes sociais,0,94.3,9.9,33,2656.11,977.43
R01720,2024-09-06,L5,232,48.6,100.60,WhatsApp,20,95.9,11.1,75,4068.78,1356.83
R01721,2024-09-07,L4,175,39.9,220.94,Mídia local,5,96.6,6.6,67,4739.34,1881.31
R01722,2024-09-07,L8,148,30.1,0.00,Sem divulgação,10,94.9,9.4,48,2901.83,1019.11
R01723,2024-09-07,L2,183,26.2,0.00,Sem divulgação,5,97.5,14.3,33,2743.34,940.60
R01724,2024-09-07,L1,193,33.3,0.00,Sem divulgação,10,95.9,10.8,59,3261.41,1261.92
R01725,2024-09-07,L7,215,41.9,122.73,Redes sociais,15,97.4,11.5,55,4904.58,1603.43
R01726,2024-09-07,L6,162,42.6,0.00,Sem divulgação,10,95.7,7.9,54,3265.36,1116.77
R01727,2024-09-07,L3,223,41.6,0.00,Sem divulgação,15,95.1,12.8,56,3849.84,1108.56
R01728,2024-09-07,L5,323,51.2,190.62,Redes sociais,10,94.1,14.3,54,3874.50,1381.79
R01729,2024-09-09,L4,74,27.2,0.00,Sem divulgação,0,98.4,5.7,31,2408.10,929.55
R01730,2024-09-09,L8,141,35.3,111.47,Mídia local,20,93.3,7.6,46,2491.04,923.03
